"d","model_path","sp_name","site_id","type","mod_desc_char_en","mod_desc_char_fr"
"ib_022022_14","/data/outputs/ib_022022_14","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche"""
"ib_022022_15","/data/outputs/ib_022022_15","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche"""
"ib_022022_16","/data/outputs/ib_022022_16","Echinopora lamellosa","ib","na","This na coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Île Blanche"""
"ib_022022_17","/data/outputs/ib_022022_17","Echinopora lamellosa","ib","na","This na coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Île Blanche"""
"ib_022022_18","/data/outputs/ib_022022_18","Echinopora lamellosa","ib","na","This na coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Île Blanche"""
"ib_022022_2","/data/outputs/ib_022022_2","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche"""
"ib_022022_3","/data/outputs/ib_022022_3","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche"""
"ib_022022_4","/data/outputs/ib_022022_4","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche"""
"ib_022022_5","/data/outputs/ib_022022_5","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche"""
"ib_022022_6","/data/outputs/ib_022022_6","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche"""
"ib_022022_7","/data/outputs/ib_022022_7","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche"""
"ib_022022_8","/data/outputs/ib_022022_8","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche"""
"ib_022022_9","/data/outputs/ib_022022_9","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche"""
"jr_022022_1","/data/outputs/jr_022022_1","Acropora humilis","jr","competitive","This competitive coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Jolly Roger"""
"jr_022022_10","/data/outputs/jr_022022_10","Echinopora gemmacea","jr","generalist","This generalist coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type généraliste est suivie au site ""Jolly Roger"""
"jr_022022_11","/data/outputs/jr_022022_11","Platygyra daedalea","jr","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Jolly Roger"""
"jr_022022_12","/data/outputs/jr_022022_12","Platygyra daedalea","jr","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Jolly Roger"""
"jr_022022_13","/data/outputs/jr_022022_13","Platygyra daedalea","jr","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Jolly Roger"""
"jr_022022_14","/data/outputs/jr_022022_14","Favia sp.","jr","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Jolly Roger"""
"jr_022022_15","/data/outputs/jr_022022_15","Favia sp.","jr","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Jolly Roger"""
"jr_022022_2","/data/outputs/jr_022022_2","Acropora humilis","jr","competitive","This competitive coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Jolly Roger"""
"jr_022022_3","/data/outputs/jr_022022_3","Acropora humilis","jr","competitive","This competitive coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Jolly Roger"""
"jr_022022_4","/data/outputs/jr_022022_4","Acropora humilis","jr","competitive","This competitive coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Jolly Roger"""
"jr_022022_5","/data/outputs/jr_022022_5","Acropora humilis","jr","competitive","This competitive coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Jolly Roger"""
"jr_022022_6","/data/outputs/jr_022022_6","Echinopora gemmacea","jr","generalist","This generalist coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type généraliste est suivie au site ""Jolly Roger"""
"jr_022022_7","/data/outputs/jr_022022_7","Echinopora gemmacea","jr","generalist","This generalist coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type généraliste est suivie au site ""Jolly Roger"""
"jr_022022_8","/data/outputs/jr_022022_8","Echinopora gemmacea","jr","generalist","This generalist coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type généraliste est suivie au site ""Jolly Roger"""
"jr_022022_9","/data/outputs/jr_022022_9","Echinopora gemmacea","jr","generalist","This generalist coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type généraliste est suivie au site ""Jolly Roger"""
"ng_022022_1","/data/outputs/ng_022022_1","Isopora palifera","ng","na","This na coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""N'gouja"""
"ng_022022_10","/data/outputs/ng_022022_10","Porites nigrescens","ng","na","This na coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""N'gouja"""
"ng_022022_11","/data/outputs/ng_022022_11","Porites lutea","ng","stress-tolerant","This stress-tolerant coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""N'gouja"""
"ng_022022_12","/data/outputs/ng_022022_12","Porites lutea","ng","stress-tolerant","This stress-tolerant coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""N'gouja"""
"ng_022022_13","/data/outputs/ng_022022_13","Porites lutea","ng","stress-tolerant","This stress-tolerant coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""N'gouja"""
"ng_022022_14","/data/outputs/ng_022022_14","Porites lutea","ng","stress-tolerant","This stress-tolerant coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""N'gouja"""
"ng_022022_15","/data/outputs/ng_022022_15","Porites lutea","ng","stress-tolerant","This stress-tolerant coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""N'gouja"""
"ng_022022_3","/data/outputs/ng_022022_3","Isopora palifera","ng","na","This na coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""N'gouja"""
"ng_022022_4","/data/outputs/ng_022022_4","Isopora palifera","ng","na","This na coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""N'gouja"""
"ng_022022_5","/data/outputs/ng_022022_5","Isopora palifera","ng","na","This na coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""N'gouja"""
"ng_022022_6","/data/outputs/ng_022022_6","Porites nigrescens","ng","na","This na coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""N'gouja"""
"ng_022022_7","/data/outputs/ng_022022_7","Porites nigrescens","ng","na","This na coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""N'gouja"""
"ng_022022_8","/data/outputs/ng_022022_8","Porites nigrescens","ng","na","This na coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""N'gouja"""
"ng_022022_9","/data/outputs/ng_022022_9","Porites nigrescens","ng","na","This na coral colony is monitored at the ""N'gouja"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""N'gouja"""
"su2_022022_1","/data/outputs/su2_022022_1","Isopora palifera","su","na","This na coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Surprise"""
"su2_022022_10","/data/outputs/su2_022022_10","Pocillopora damicornis","su","weedy","This weedy coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Surprise"""
"su2_022022_11","/data/outputs/su2_022022_11","Goniastrea retiformis","su","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Surprise"""
"su2_022022_12","/data/outputs/su2_022022_12","Goniastrea retiformis","su","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Surprise"""
"su2_022022_13","/data/outputs/su2_022022_13","Goniastrea retiformis","su","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Surprise"""
"su2_022022_14","/data/outputs/su2_022022_14","Goniastrea retiformis","su","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Surprise"""
"su2_022022_15","/data/outputs/su2_022022_15","Goniastrea retiformis","su","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Surprise"""
"su2_022022_17","/data/outputs/su2_022022_17","Hydnophora exaesa","su","generalist","This generalist coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type généraliste est suivie au site ""Surprise"""
"su2_022022_18","/data/outputs/su2_022022_18","Hydnophora exaesa","su","generalist","This generalist coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type généraliste est suivie au site ""Surprise"""
"su2_022022_2","/data/outputs/su2_022022_2","Isopora palifera","su","na","This na coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Surprise"""
"su2_022022_3","/data/outputs/su2_022022_3","Isopora palifera","su","na","This na coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Surprise"""
"su2_022022_4","/data/outputs/su2_022022_4","Isopora palifera","su","na","This na coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Surprise"""
"su2_022022_5","/data/outputs/su2_022022_5","Isopora palifera","su","na","This na coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Surprise"""
"su2_022022_7","/data/outputs/su2_022022_7","Pocillopora damicornis","su","weedy","This weedy coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Surprise"""
"su2_022022_8","/data/outputs/su2_022022_8","Pocillopora damicornis","su","weedy","This weedy coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Surprise"""
"su2_022022_9","/data/outputs/su2_022022_9","Pocillopora damicornis","su","weedy","This weedy coral colony is monitored at the ""Surprise"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Surprise"""
