"","d","model_path","sp_name","site_name_en","type","mod_desc_char"
"46","jr_022022_9","data/outputs/jr_022022_9","Echinopora gemmacea","jollyroger","generalist","This generalist coral colony is monitored at the ""jollyroger"" site of Mayotte"
"47","ng_022022_1","data/outputs/ng_022022_1","Isopora palifera","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"48","ng_022022_10","data/outputs/ng_022022_10","Porites nigrescens","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"49","ng_022022_11","data/outputs/ng_022022_11","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
"50","ng_022022_12","data/outputs/ng_022022_12","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
"51","ng_022022_13","data/outputs/ng_022022_13","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
"52","ng_022022_14","data/outputs/ng_022022_14","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
"53","ng_022022_15","data/outputs/ng_022022_15","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
"54","ng_022022_3","data/outputs/ng_022022_3","Isopora palifera","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"55","ng_022022_4","data/outputs/ng_022022_4","Isopora palifera","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"56","ng_022022_5","data/outputs/ng_022022_5","Isopora palifera","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"57","ng_022022_6","data/outputs/ng_022022_6","Porites nigrescens","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"58","ng_022022_7","data/outputs/ng_022022_7","Porites nigrescens","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"59","ng_022022_8","data/outputs/ng_022022_8","Porites nigrescens","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"60","ng_022022_9","data/outputs/ng_022022_9","Porites nigrescens","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"61","su2_022022_1","data/outputs/su2_022022_1","Isopora palifera","surprise","na","This na coral colony is monitored at the ""surprise"" site of Mayotte"
"62","su2_022022_10","data/outputs/su2_022022_10","Pocillopora damicornis","surprise","weedy","This weedy coral colony is monitored at the ""surprise"" site of Mayotte"
"63","su2_022022_11","data/outputs/su2_022022_11","Goniastrea retiformis","surprise","stress-tolerant","This stress-tolerant coral colony is monitored at the ""surprise"" site of Mayotte"
"64","su2_022022_12","data/outputs/su2_022022_12","Goniastrea retiformis","surprise","stress-tolerant","This stress-tolerant coral colony is monitored at the ""surprise"" site of Mayotte"
"65","su2_022022_13","data/outputs/su2_022022_13","Goniastrea retiformis","surprise","stress-tolerant","This stress-tolerant coral colony is monitored at the ""surprise"" site of Mayotte"
"66","su2_022022_14","data/outputs/su2_022022_14","Goniastrea retiformis","surprise","stress-tolerant","This stress-tolerant coral colony is monitored at the ""surprise"" site of Mayotte"
"67","su2_022022_15","data/outputs/su2_022022_15","Goniastrea retiformis","surprise","stress-tolerant","This stress-tolerant coral colony is monitored at the ""surprise"" site of Mayotte"
"68","su2_022022_17","data/outputs/su2_022022_17","Hydnophora exaesa","surprise","generalist","This generalist coral colony is monitored at the ""surprise"" site of Mayotte"
"69","su2_022022_18","data/outputs/su2_022022_18","Hydnophora exaesa","surprise","generalist","This generalist coral colony is monitored at the ""surprise"" site of Mayotte"
"70","su2_022022_2","data/outputs/su2_022022_2","Isopora palifera","surprise","na","This na coral colony is monitored at the ""surprise"" site of Mayotte"
"71","su2_022022_3","data/outputs/su2_022022_3","Isopora palifera","surprise","na","This na coral colony is monitored at the ""surprise"" site of Mayotte"
"72","su2_022022_4","data/outputs/su2_022022_4","Isopora palifera","surprise","na","This na coral colony is monitored at the ""surprise"" site of Mayotte"
"73","su2_022022_5","data/outputs/su2_022022_5","Isopora palifera","surprise","na","This na coral colony is monitored at the ""surprise"" site of Mayotte"
"74","su2_022022_7","data/outputs/su2_022022_7","Pocillopora damicornis","surprise","weedy","This weedy coral colony is monitored at the ""surprise"" site of Mayotte"
"75","su2_022022_8","data/outputs/su2_022022_8","Pocillopora damicornis","surprise","weedy","This weedy coral colony is monitored at the ""surprise"" site of Mayotte"
"76","su2_022022_9","data/outputs/su2_022022_9","Pocillopora damicornis","surprise","weedy","This weedy coral colony is monitored at the ""surprise"" site of Mayotte"
